,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,count_sim,facet_blocks
136,sim_par_1,150,150,300,0.25,one_over_p,nrm,U,laplacian,300,"n_target, n_source=300",5,Gaussian,nrm_U_one_over_p_laplacian,0.0021709554210409647,100,"sim_par_1, pi_target = 0.25"
137,sim_par_1,150,150,300,0.25,one_over_p,nrm,U,rbf,300,"n_target, n_source=300",5,Gaussian,nrm_U_one_over_p_rbf,0.0024849678425686392,100,"sim_par_1, pi_target = 0.25"
138,sim_par_1,150,150,300,0.25,one_over_p,nrm,V,laplacian,300,"n_target, n_source=300",5,Gaussian,nrm_V_one_over_p_laplacian,0.0054878460103982675,100,"sim_par_1, pi_target = 0.25"
139,sim_par_1,150,150,300,0.25,one_over_p,nrm,V,rbf,300,"n_target, n_source=300",5,Gaussian,nrm_V_one_over_p_rbf,0.005072581547496271,100,"sim_par_1, pi_target = 0.25"
168,sim_par_1,150,150,400,0.25,bootstrap_mse,ipr,U,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_laplacian,0.0015198593416901858,100,"sim_par_1, pi_target = 0.25"
169,sim_par_1,150,150,400,0.25,bootstrap_mse,ipr,U,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_rbf,0.0014156892332312626,100,"sim_par_1, pi_target = 0.25"
170,sim_par_1,150,150,400,0.25,bootstrap_mse,ipr,V,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_laplacian,0.0016298569138084524,100,"sim_par_1, pi_target = 0.25"
171,sim_par_1,150,150,400,0.25,bootstrap_mse,ipr,V,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_rbf,0.0013669654395558407,100,"sim_par_1, pi_target = 0.25"
172,sim_par_1,150,150,400,0.25,bootstrap_var,ipr,U,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_laplacian,0.0015794416039385827,100,"sim_par_1, pi_target = 0.25"
173,sim_par_1,150,150,400,0.25,bootstrap_var,ipr,U,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_rbf,0.0014742272652167434,100,"sim_par_1, pi_target = 0.25"
174,sim_par_1,150,150,400,0.25,bootstrap_var,ipr,V,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_laplacian,0.0018130722222837409,100,"sim_par_1, pi_target = 0.25"
175,sim_par_1,150,150,400,0.25,bootstrap_var,ipr,V,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_rbf,0.0015875542528886088,100,"sim_par_1, pi_target = 0.25"
176,sim_par_1,150,150,400,0.25,distance,ipr,U,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_U_distance_laplacian,0.0015929829450954094,100,"sim_par_1, pi_target = 0.25"
177,sim_par_1,150,150,400,0.25,distance,ipr,U,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_U_distance_rbf,0.0016442052711927366,100,"sim_par_1, pi_target = 0.25"
178,sim_par_1,150,150,400,0.25,distance,ipr,V,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_V_distance_laplacian,0.0014803646634987259,100,"sim_par_1, pi_target = 0.25"
179,sim_par_1,150,150,400,0.25,distance,ipr,V,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_V_distance_rbf,0.0014523323053558831,100,"sim_par_1, pi_target = 0.25"
