,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,facet_blocks
19,sim_par_4,50,50,100,0.25,grid,ipr,U,rbf,100,n_target=n_source,10,Gaussian,ipr_U_grid_rbf,0.003947441841330961,"p = 10, sim_par_4, pi_target = 0.25"
22,sim_par_4,50,50,100,0.25,grid,ipr,V,rbf,100,n_target=n_source,10,Gaussian,ipr_V_grid_rbf,0.003556780015209313,"p = 10, sim_par_4, pi_target = 0.25"
25,sim_par_4,50,50,100,0.25,numerical,ipr,U,rbf,100,n_target=n_source,10,Gaussian,ipr_U_numerical_rbf,0.003972067812823343,"p = 10, sim_par_4, pi_target = 0.25"
28,sim_par_4,50,50,100,0.25,numerical,ipr,V,rbf,100,n_target=n_source,10,Gaussian,ipr_V_numerical_rbf,0.0087351130624466,"p = 10, sim_par_4, pi_target = 0.25"
31,sim_par_4,50,50,100,0.25,one_over_p,ipr,U,rbf,100,n_target=n_source,10,Gaussian,ipr_U_one_over_p_rbf,0.004445000264385178,"p = 10, sim_par_4, pi_target = 0.25"
34,sim_par_4,50,50,100,0.25,one_over_p,ipr,V,rbf,100,n_target=n_source,10,Gaussian,ipr_V_one_over_p_rbf,0.00394101059886928,"p = 10, sim_par_4, pi_target = 0.25"
37,sim_par_4,50,50,100,0.25,one_over_p,nrm,U,rbf,100,n_target=n_source,10,Gaussian,nrm_U_one_over_p_rbf,0.010458537595212024,"p = 10, sim_par_4, pi_target = 0.25"
40,sim_par_4,50,50,100,0.25,one_over_p,nrm,V,rbf,100,n_target=n_source,10,Gaussian,nrm_V_one_over_p_rbf,0.024316664555630505,"p = 10, sim_par_4, pi_target = 0.25"
85,sim_par_4,100,100,200,0.25,bootstrap_mse,ipr,U,rbf,200,n_target=n_source,10,Gaussian,ipr_U_bootstrap_mse_rbf,0.0026514365073051632,"p = 10, sim_par_4, pi_target = 0.25"
88,sim_par_4,100,100,200,0.25,bootstrap_mse,ipr,V,rbf,200,n_target=n_source,10,Gaussian,ipr_V_bootstrap_mse_rbf,0.002528997328533492,"p = 10, sim_par_4, pi_target = 0.25"
91,sim_par_4,100,100,200,0.25,bootstrap_var,ipr,U,rbf,200,n_target=n_source,10,Gaussian,ipr_U_bootstrap_var_rbf,0.0027260078415496866,"p = 10, sim_par_4, pi_target = 0.25"
94,sim_par_4,100,100,200,0.25,bootstrap_var,ipr,V,rbf,200,n_target=n_source,10,Gaussian,ipr_V_bootstrap_var_rbf,0.002485355857043442,"p = 10, sim_par_4, pi_target = 0.25"
97,sim_par_4,100,100,200,0.25,distance,ipr,U,rbf,200,n_target=n_source,10,Gaussian,ipr_U_distance_rbf,0.0027070685009560162,"p = 10, sim_par_4, pi_target = 0.25"
100,sim_par_4,100,100,200,0.25,distance,ipr,V,rbf,200,n_target=n_source,10,Gaussian,ipr_V_distance_rbf,0.0024679627672884136,"p = 10, sim_par_4, pi_target = 0.25"
