beta,n_plus,n_minus,n_target,pi_target,p,seed,pi_nmr_u,pi_ipr_u,pi_nmr_v,pi_ipr_v,var_plug-in,var_explicit,var_plug-in_target,var_plug-in_plus,var_plug-in_minus,r_n,lambda_target,lambda_plus,lambda_minus,var_explicit_target,var_explicit_plus,var_explicit_minus
0.5,500,500,500,0.1,5,40,0.08070425679127254,0.09286067305686174,0.17090752984412913,0.10208132105025691,0.6478994170977534,0.6132484468842485,0.0009983191229760015,2.5080740922123744e-05,0.0007408842090621427,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009663785497318056,-4.918785270424664e-06,0.0007084668307067998
0.5,500,500,500,0.1,5,41,0.10351074351242355,0.11461670239526567,0.16329116478521305,0.12068551684162204,0.465594674480139,0.44818787347296374,0.0015499129235966647,3.3226750132586e-05,0.0010682619170441204,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001515929037193553,1.420447465538821e-06,0.0010349263591709068
0.5,500,500,500,0.1,5,42,0.11806011819671347,0.12911675264315048,0.1934964036995905,0.1378619930333801,0.6447313618561222,0.6097335420848458,0.001009667621829592,3.020618392680092e-05,0.0006760675192069496,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009784197313150722,-7.434172465403677e-07,0.000645118921248633
0.5,500,500,500,0.1,5,43,0.0,0.08545642189122343,0.13244489306587584,0.09388689235662429,0.5712147965673056,0.5455266553453947,0.0011735118464407759,1.571571126343759e-05,0.0009125973629011323,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001141689075386032,-1.540997441096259e-05,0.0008810245017150109
0.5,500,500,500,0.1,5,44,0.19939754935582052,0.19712647802750266,0.2376803900820097,0.20220230739035877,0.5045741758453215,0.4845605120697469,0.0015524036707268948,6.594581510199037e-05,0.0007917562338828952,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0015200381746482972,3.4740837947744296e-05,0.0007597311577456356
0.5,500,500,500,0.1,5,45,0.14234903746418887,0.17339282403466627,0.18828294512458776,0.17833585749787922,0.41153805484111283,0.3953631209469862,0.0015293427672234952,4.8416451195461654e-05,0.000895576267364743,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001495906905375155,1.6811493640078723e-05,0.0008634060572902946
0.5,500,500,500,0.1,5,46,0.18871306622375386,0.09578169223808713,0.2312930629358676,0.1030744148180246,0.5320257432775659,0.5096419822726107,0.0013567166316371913,5.845461108274374e-05,0.0008781860712814648,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013244267673385712,2.6474087093997234e-05,0.0008459687187701848
0.5,500,500,500,0.1,5,47,0.0,0.04397679771803564,0.1324183439751556,0.053810613149980036,0.643491025366285,0.6130418032062324,0.0010424311861692603,1.4435462498256564e-05,0.0009164403065239273,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010109451247837242,-1.640920198853202e-05,0.0008853965182227252
0.5,500,500,500,0.1,5,48,0.13610225777459042,0.14699476483959595,0.1857878529589735,0.15259334390325113,0.4308393338441869,0.4132299499122688,0.001386289786854144,3.9779530176414496e-05,0.0009759752759443808,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013530505393472003,8.021099570876267e-06,0.0009427959257853891
0.5,500,500,500,0.1,5,49,0.09953500319960919,0.14368385200145822,0.16773340787766072,0.14995434299364735,0.5106895039278783,0.48786485536000096,0.0013025087099445528,3.343930157767856e-05,0.000784519129397735,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012702088206500983,2.375720671077275e-06,0.0007531108901374095
